7zip	25.01+dfsg-1~deb13u2
linux-base-rpi-2712	1:6.18.34-1+rpt1
linux-base-rpi-v8	1:6.18.34-1+rpt1
linux-headers-6.18.34+rpt-common-rpi	1:6.18.34-1+rpt1
linux-headers-6.18.34+rpt-rpi-2712	1:6.18.34-1+rpt1
linux-headers-6.18.34+rpt-rpi-v8	1:6.18.34-1+rpt1
linux-headers-rpi-2712	1:6.18.34-1+rpt1
linux-headers-rpi-v8	1:6.18.34-1+rpt1
linux-image-6.18.34+rpt-rpi-2712	1:6.18.34-1+rpt1
linux-image-6.18.34+rpt-rpi-v8	1:6.18.34-1+rpt1
linux-image-rpi-2712	1:6.18.34-1+rpt1
linux-image-rpi-v8	1:6.18.34-1+rpt1
linux-kbuild-6.18.34+rpt	1:6.18.34-1+rpt1
linux-libc-dev	1:6.18.34-1+rpt1
linux-sysctl-defaults	4.12.1
locales	2.41-12+rpt1+deb13u3
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
logrotate	3.22.0-1+b2
logsave	1.47.2-3+b11
lp-connection-editor	0.6
lpplug-batt	1.3
lpplug-bluetooth	1.8
lpplug-clock	1.6
lpplug-cpu	1.3
lpplug-cputemp	1.3
lpplug-ejecter	1.9
lpplug-gpu	1.3
lpplug-magnifier	1.0
lpplug-menu	1.18
lpplug-netman	1.11
lpplug-power	1.8
lpplug-updater	1.5
lpplug-volumepulse	1.12
lsb-release	12.1-1
lsof	4.99.4+dfsg-2
lua5.1	5.1.5-11
luajit	2.1.0+openresty20250117-2
lxmenu-data	0.1.6-3+rpt1
lxpanel-pi	1.7
lxpolkit	0.5.6-2+rpt2
lxsession	0.5.6-2+rpt2
lxsession-data	0.5.6-2+rpt2
lxsession-logout	0.5.6-2+rpt2
lxtask	0.1.12-1+rpt1
lxterminal	0.4.1-1+rpt1
lynx	2.9.2-1+b1
lynx-common	2.9.2-1
m17n-db	1.8.10-1
mailcap	3.74
make	4.4.1-2
man-db	2.13.1-1
manpages	6.9.1-1
manpages-dev	6.9.1-1
mate-desktop-common	1.26.2-1.2
mate-polkit	1.26.1-4+b2
mate-polkit-bin	1.26.1-4
mate-polkit-common	1.26.1-4
mawk	1.3.4.20250131-1
media-types	13.0.0
merp	0.2
mesa-libgallium:arm64	26.2.0-1~bpo13+0~rpt3
mesa-va-drivers:arm64	26.2.0-1~bpo13+0~rpt3
mesa-vdpau-drivers:arm64	26.2.0-1~bpo13+0~rpt3
mesa-vulkan-drivers:arm64	26.2.0-1~bpo13+0~rpt3
meson	1.7.0-1
mkvtoolnix	92.0-1
mount	2.41.5-0+deb13u1
mousepad	0.6.3-1
mypy	1.15.0-5
nano	8.4-1+deb13u1
native-architecture	0.2.6
ncdu	1.22-1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
ncurses-term	6.5+20250216-2
net-tools	2.10-1.3
netbase	6.5
netcat-openbsd	1.229-1
netplan-generator	1.1.2-7+rpt1
netplan.io	1.1.2-7+rpt1
network-manager	1.52.1-1+rpt4
network-manager-l10n	1.52.1-1+rpt4
nfs-common	1:2.8.3-1
nftables	1.1.3-1
ninja-build	1.12.1-1+b1
notification-daemon	3.20.0-5
ntfs-3g	1:2022.10.3-5+deb13u1
ocl-icd-libopencl1:arm64	2.3.3-1
openbox	3.6.1-12+rpt1
openocd	0.12.0+rpt20250909.cd4873400-1
openssh-client	1:10.0p1-7+deb13u4
openssh-server	1:10.0p1-7+deb13u4
openssh-sftp-server	1:10.0p1-7+deb13u4
openssl	3.5.6-1~deb13u2+rpt1
openssl-provider-legacy	3.5.6-1~deb13u2+rpt1
p11-kit	0.25.5-3
p11-kit-modules:arm64	0.25.5-3
p7zip-full	16.02+transitional.1
packagekit	1.3.1-1+deb13u1
pahole	1.30-1
pango1.0-tools	1.56.3-1
parted	3.6-5
passwd	1:4.17.4-2
pastebinit	1.7.1-1+~rpt2
patch	2.8-2
pci.ids	0.0~2025.06.09-1
pciutils	1:3.13.0-2
pcmanfm	1.4.0-1+rpt9
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
pi-greeter	1.2
pi-language-support	0.1
pi-package	0.19
pi-package-data	0.19
pi-package-session	0.19
pi-printer-support	1.1
piclone	1.5
pinentry-curses	1.3.1-2
pinentry-gnome3	1.3.1-2
pipanel	1:2.10
pipewire-bin	1.4.2-1+rpt3
pipewire-libcamera	1.4.2-1+rpt3
pipewire-pulse	1.4.2-1+rpt3
pipewire:arm64	1.4.2-1+rpt3
pishutdown	0.38
piwiz	1.6
pixtrix-icons	0.5
pixtrix-theme	0.4
pkexec	126-2
pkg-config:arm64	1.8.1-4
pkgconf-bin	1.8.1-4
pkgconf:arm64	1.8.1-4
plymouth	24.004.60-5
plymouth-label	24.004.60-5
plymouth-themes	24.004.60-5
pocketsphinx-en-us	0.8+5prealpha+1-15
polkitd	126-2
poppler-data	0.4.12-1
poppler-utils	25.03.0-5+deb13u3
pplug-ejecter-data	1.9
pplug-netman-schema	1.11
pplug-power-data	1.8
pplug-updater-data	1.5
ppp	2.5.2-1+1
pprompt	0.24
printer-driver-escpr	1.7.17-4+b1
printer-driver-hpcups	3.22.10+dfsg0-8.1
printer-driver-postscript-hp	3.22.10+dfsg0-8.1
procps	2:4.0.4-9
psmisc	23.7-2
publicsuffix	20250328.1952-0.1
pylint	3.3.4-1
python-apt-common	3.0.0
python-babel-localedata	2.17.0-1
python-is-python3	3.13.3-1
python3	3.13.5-1
python3-apt	3.0.0
python3-arrow	1.3.0-1.1
python3-astroid	3.3.8-2
python3-asttokens	3.0.0-1
python3-attr	25.3.0-1
python3-autocommand	2.2.2-3
python3-av	14.2.0-1
python3-babel	2.17.0-1
python3-bcrypt	4.2.0-2.1+b1
python3-blinker	1.9.0-1
python3-bs4	4.13.4-2
python3-cairo	1.27.0-2
python3-certifi	2025.1.31+ds-1
python3-cffi-backend:arm64	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-colorzero	2.0-4
python3-configobj	5.0.9-1
python3-cryptography	43.0.0-3+deb13u1
python3-cssselect	1.3.0-1
python3-cups:arm64	2.0.4-2+b2
python3-cupshelpers	1.5.18-4
python3-dateutil	2.9.0-4
python3-dbus	1.4.0-1
python3-debconf	1.5.91
python3-dev	3.13.5-1
python3-dill	0.4.0-1
python3-distro	1.9.0-1
python3-docutils	0.21.2+dfsg-2
python3-fqdn	1.5.1-2
python3-freetype	2.5.1-1
python3-gi	3.50.0-4+b1
python3-gpiozero	2.0.1-0+rpt1+trixie
python3-html5lib	1.2-2
python3-idna	3.10-1
python3-inflect	7.3.1-2
python3-isoduration	20.11.0+git20211126.ae0bd61-2
python3-isort	6.0.1-1
python3-jaraco.context	6.0.1-1+deb13u1
python3-jaraco.functools	4.1.0-1
python3-jaraco.text	4.0.0-1
python3-jedi	0.19.1+ds1-1
python3-jinja2	3.1.6-1
python3-json-pointer	2.4-3
python3-jsonpatch	1.32-5
python3-jsonschema	4.19.2-6
python3-jsonschema-specifications	2023.12.1-2
python3-jwt	2.10.1-2+deb13u1
python3-kms++	0~git20250807.1813ada-1
python3-lgpio	0.2.2-1~rpt1+trixie
python3-libarchive-c	5.1-1
python3-libcamera	0.7.1+rpt20260609-1
python3-libevdev	0.11-2
python3-libgpiod	2.2.1-2+deb13u1
python3-linkify-it	2.0.3-1
python3-logilab-common	2.1.0-1
python3-lxml:arm64	5.4.0-1
python3-markdown-it	3.0.0-3
python3-markupsafe	2.1.5-1+b4
python3-mccabe	0.7.0-1
python3-mdurl	0.1.2-1
python3-minimal	3.13.5-1
python3-more-itertools	10.7.0-1
python3-mypy	1.15.0-5
python3-mypy-extensions	1.0.0-1
python3-netplan	1.1.2-7+rpt1
python3-numpy	1:2.2.4+ds-1
python3-numpy-dev:arm64	1:2.2.4+ds-1
python3-oauthlib	3.2.2-3
python3-olefile	0.47-1
python3-openexr	1.3.10-1
python3-opengl	3.1.9+dfsg-2
python3-orjson	3.10.7-2+b1
python3-packaging	25.0-1
python3-parso	0.8.4-1
python3-pexpect	4.9-3
python3-pgzero	1.2.post6+really1.2.1+dfsg-2
python3-picamera2	0.3.36-1
python3-pidng	4.0.9+git20260513.b096d0b-1
python3-piexif	1.1.3-2
python3-pil:arm64	11.1.0-5+deb13u2
python3-pip	25.1.1+dfsg-1+rpt1
python3-pip-whl	25.1.1+dfsg-1+rpt1
python3-pkg-resources	78.1.1-0.1
python3-platformdirs	4.3.7-1
python3-prctl	1.8.1-1+b7
python3-psutil	7.0.0-2
python3-ptyprocess	0.7.0-6
python3-pycryptodome	3.20.0+dfsg-3
python3-pygame	2.6.1-1+b2
python3-pygments	2.18.0+dfsg-2
python3-pyqt5	5.15.11+dfsg-2
python3-pyqt5.sip	12.17.0-1+b1
python3-pyudev	0.24.3-1
python3-referencing	0.36.2-1
python3-reportlab	4.3.1-1
python3-requests	2.32.3+dfsg-5+deb13u1
python3-rfc3339-validator	0.1.4-2
python3-rfc3986-validator	0.1.1-2
python3-rfc3987	1.3.8-3
python3-rich	13.9.4-1
python3-rlpycairo	0.3.0-3
python3-roman	5.0-1
python3-rpds-py	0.21.0-2+b1
python3-rpi-lgpio	0.6-0~rpt1+trixie
python3-rtimulib	7.2.1-7
python3-send2trash	1.8.3-1
python3-sense-hat	2.6.1-1
python3-serial	3.5-2
python3-setuptools	78.1.1-0.1
python3-setuptools-whl	78.1.1-0.1
python3-simplejpeg	1.8.1-1+trixie
python3-smbc	1.0.25.1-1+b5
python3-smbus2	0.4.3-1
python3-smbus:arm64	4.4-2
python3-soupsieve	2.7-1
python3-spidev	3.6-1+b6
python3-tk:arm64	3.13.5-1
python3-tomlkit	0.13.2-1
python3-tqdm	4.67.1-5
python3-typeguard	4.4.2-1
python3-typeshed	0.0~git20241223.ea91db2-1
python3-typing-extensions	4.13.2-1
python3-uc-micro	1.0.3-1
python3-uritemplate	4.1.1-3
python3-urllib3	2.3.0-3+deb13u1
python3-venv	3.13.5-1
python3-videodev2	0.0.4-1
python3-webcolors	1.13-1
python3-webencodings	0.5.1-5
python3-wheel	0.46.1-2
python3-yaml	6.0.2-1+b2
python3-zipp	3.21.0-1
python3.13	3.13.5-2+deb13u2
python3.13-dev	3.13.5-2+deb13u2
python3.13-minimal	3.13.5-2+deb13u2
python3.13-tk	3.13.5-2+deb13u2
python3.13-venv	3.13.5-2+deb13u2
qt5-gtk2-platformtheme:arm64	5.0.0+git23.g335dbec-6+rpt1
qt5-style-plugin-cleanlooks:arm64	5.0.0+git23.g335dbec-6+rpt1
qt5-style-plugin-motif:arm64	5.0.0+git23.g335dbec-6+rpt1
qt5-style-plugin-plastique:arm64	5.0.0+git23.g335dbec-6+rpt1
qt5-style-plugins:arm64	5.0.0+git23.g335dbec-6+rpt1
qt5ct	1.8-2+b1
qt6ct	0.10-2+b1
qtwayland5:arm64	5.15.15-3
raindrop	1.16
raspberrypi-archive-keyring	2025.1+rpt1
raspberrypi-net-mods	1.4.4
raspberrypi-sys-mods	1:20260612
raspi-config	20260522
raspi-config-core	20260522
raspi-firmware	1:1.20260521-3
raspi-utils	20260601-1
raspi-utils-core	20260601-1
raspi-utils-dt	20260601-1
raspi-utils-eeprom	20260601-1
raspi-utils-otp	20260601-1
raspinfo	20260601-1
rasputin	1.7
rc-gui	2.15
read-edid	3.0.2-1.1+b1
readline-common	8.2-6
realvnc-vnc-server	7.13.1.57
rfkill	2.41.5-0+deb13u1
rp-bookshelf	1.10
rp-prefapps	1.12
rpcbind	1.2.7-1
rpcc	0.14
rpcsvc-proto	1.4.3-1+b1
rpd-applications	1.18
rpd-common	1.18
rpd-developer	1.18
rpd-graphics	1.18
rpd-plym-splash	0.47
rpd-preferences	1.18
rpd-theme	1.18
rpd-utilities	1.18
rpd-wallpaper	0.5
rpd-wallpaper-trixie	0.1
rpd-wayland-core	1.18
rpd-wayland-extras	1.18
rpd-x-core	1.18
rpd-x-extras	1.18
rpi-chromium-mods	20260211
rpi-cloud-init-mods	1:20260119
rpi-connect	2.12.0
rpi-connect-lite	2.12.0
rpi-eeprom	28.27-1
rpi-firefox-mods	20251016
rpi-gui-nop	0.1.0
rpi-imager	2.0.7
rpi-keyboard-config	1.0
rpi-keyboard-fw-update	1.0.1
rpi-loop-utils	1.2.2
rpi-swap	1.2.2
rpi-systemd-config	1.1.1
rpi-update	20230904
rpi-usb-gadget	1.0.6
rpi-userguide	1.4
rpicam-apps	1.12.0-1
rpicam-apps-core	1.12.0-1
rpicam-apps-encoder:arm64	1.12.0-1
rpicam-apps-lite	1.12.0-1
rpicam-apps-opencv-postprocess	1.12.0-1
rpicam-apps-preview:arm64	1.12.0-1
rpieepromab	20260601-1
rpifwcrypto	20260601-1
rpinters	1.9
rsync	3.4.1+ds1-5+deb13u3
runit-helper	2.16.4
samba-libs:arm64	2:4.22.8+dfsg-0+deb13u2
sane-airscan	0.99.35-1
sane-utils	1.3.1-3+b1
scrot	1.12.1-1
sed	4.9-2+deb13u1
sense-hat	1.5
sensible-utils	0.0.25
sgml-base	1.31+nmu1
shared-mime-info	2.4-5+b2
slurp	1.5.0-1+b1
sound-theme-freedesktop	0.8-6~deb13u1
sq	1.3.1-2+b2
squeekboard	1.43.1-1+rpt1
sqv	1.3.0-3+b2
ssh	1:10.0p1-7+deb13u4
ssh-import-id	5.10-3
ssl-cert	1.1.3
strace	6.13+ds-1
sudo	1.9.16p2-3+deb13u2
sudopwd	0.2
swayidle	1.8.0-1+b1
swaylock	1.8.2-1+rpt4
system-config-printer-common	1.5.18-4
system-config-printer-udev	1.5.18-4
systemd	257.13-1~deb13u1
systemd-sysv	257.13-1~deb13u1
systemd-timesyncd	257.13-1~deb13u1
systemd-zram-generator	1.2.1-2
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
thonny	4.1.7-1
timgm6mb-soundfont	1.3-5
tk8.6-blt2.5	2.5.3+dfsg-8
tzdata	2026b-0+deb13u1
ucf	3.0052
udev	257.13-1~deb13u1
udisks2	2.10.1-12.1+deb13u1
unzip	6.0-29
update-inetd	4.53
upower	1.90.9-1
usb-modeswitch	2.6.1-4+b2
usb-modeswitch-data	20191128-7
usb.ids	2025.07.26-1
usbutils	1:018-2
userconf-pi	0.18
util-linux	2.41.5-0+deb13u1
uuid	1.6.4-1
uuid-dev:arm64	2.41.5-0+deb13u1
v4l-utils	1.30.1-1
va-driver-all:arm64	2.22.0-3
vdpau-driver-all:arm64	1.5-3+b1
vim	2:9.1.1230-2
vim-common	2:9.1.1230-2
vim-runtime	2:9.1.1230-2
vim-tiny	2:9.1.1230-2
vlc	1:3.0.23-0+deb13u1+rpt2
vlc-bin	1:3.0.23-0+deb13u1+rpt2
vlc-data	1:3.0.23-0+deb13u1+rpt2
vlc-l10n	1:3.0.23-0+deb13u1+rpt2
vlc-plugin-access-extra:arm64	1:3.0.23-0+deb13u1+rpt2
vlc-plugin-base:arm64	1:3.0.23-0+deb13u1+rpt2
vlc-plugin-notify:arm64	1:3.0.23-0+deb13u1+rpt2
vlc-plugin-qt:arm64	1:3.0.23-0+deb13u1+rpt2
vlc-plugin-samba:arm64	1:3.0.23-0+deb13u1+rpt2
vlc-plugin-skins2:arm64	1:3.0.23-0+deb13u1+rpt2
vlc-plugin-video-output:arm64	1:3.0.23-0+deb13u1+rpt2
vlc-plugin-video-splitter:arm64	1:3.0.23-0+deb13u1+rpt2
vlc-plugin-visualization:arm64	1:3.0.23-0+deb13u1+rpt2
vulkan-tools	1.4.304.0+dfsg1-1
wamerican	2020.12.07-4
wayland-protocols	1.47-1~bpo13+1~rpt1
wayvnc	0.9.1-1+rpt5
wbritish	2020.12.07-4
webp-pixbuf-loader:arm64	0.2.7-1+b1
wf-panel-pi	1.13
wfplug-batt	1.3
wfplug-bluetooth	1.8
wfplug-clock	1.6
wfplug-connect	1.11
wfplug-cpu	1.3
wfplug-cputemp	1.3
wfplug-ejecter	1.9
wfplug-gpu	1.3
wfplug-menu	1.18
wfplug-netman	1.11
wfplug-power	1.8
wfplug-squeek	1.3
wfplug-updater	1.5
wfplug-volumepulse	1.12
wget	1.25.0-2
whiptail	0.52.25-1
wireless-regdb	2026.02.04-1~deb13u1
wireless-tools	30~pre9-18+b1
wireplumber	0.5.8-2
wlopm	0.1.0-1+b1
wlr-randr	0.4.1-1
wpasupplicant	2:2.10-24
x11-apps	7.7+11+b2
x11-common	1:7.7+24+deb13u1
x11-xkb-utils	7.7+9
x11-xserver-utils	7.7+11
x11proto-dev	2024.1-1
xarchiver	1:0.5.4.25-2+rpt1
xauth	1:1.1.2-1.1
xbitmaps	1.1.1-2.2
xcompmgr	1.1.8-1+rpt2
xdg-desktop-portal	1.20.3+ds-1
xdg-desktop-portal-gtk	1.15.3-1
xdg-desktop-portal-wlr	0.7.1-2
xdg-user-dirs	0.18-2
xdg-utils	1.2.1-2
xfconf	4.20.0-1
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.4-2.2
xfonts-utils	1:7.7+7
xinit	1.4.2-1+b2
xinput	1.6.4-1+b2
xkb-data	2.42-1
xml-core	0.19
xmlstarlet	1.6.1-4+b1
xorg-sgml-doctools	1:1.11-1.1
xsel	1.2.1-1+b1
xserver-common	2:21.1.16-1.3+rpt1+deb13u2
xserver-xorg	1:7.7+24+deb13u1
xserver-xorg-core	2:21.1.16-1.3+rpt1+deb13u2
xserver-xorg-input-all	1:7.7+24+deb13u1
xserver-xorg-input-libinput	1.5.0-1
xserver-xorg-video-all	1:7.7+24+deb13u1
xserver-xorg-video-amdgpu	23.0.0-1+b2
xserver-xorg-video-ati	1:22.0.0-1+b2
xserver-xorg-video-fbdev	1:0.5.0-2+b2
xserver-xorg-video-nouveau	1:1.0.18-1
xserver-xorg-video-radeon	1:22.0.0-1+b2
xsettingsd	1.0.2-1+rpt1
xterm	398-1
xtrans-dev	1.4.0-1
xwayland	2:24.1.6-1+rpt1
xz-utils	5.8.1-1
zenity	4.1.90-1
zenity-common	4.1.90-1
zenoty	0.3
zip	3.0-15
zlib1g-dev:arm64	1:1.3.dfsg+really1.3.1-1+b1
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1
zstd	1.5.7+dfsg-1
