7zip	25.01+dfsg-1~deb13u2
libdebconfclient0:arm64	0.280
libdebuginfod-common	0.192-4
libdebuginfod1t64:arm64	0.192-4
libdecor-0-0:arm64	0.2.2-2
libdeflate0:arm64	1.23-2
libdevmapper1.02.1:arm64	2:1.02.205-2
libdialog15:arm64	1.3-20250116-1
libdisplay-info-dev:arm64	0.2.0-2
libdisplay-info2:arm64	0.2.0-2
libdjvulibre-text	3.5.28-2.2
libdjvulibre21:arm64	3.5.28-2.2
libdnnl3.6:arm64	3.7.2+ds-2
libdouble-conversion3:arm64	3.3.1-1
libdpkg-perl	1.22.22
libdrm-amdgpu1:arm64	2.4.134-3~bpo13+1+rpt1
libdrm-common	2.4.134-3~bpo13+1+rpt1
libdrm-dev:arm64	2.4.134-3~bpo13+1+rpt1
libdrm-etnaviv1:arm64	2.4.134-3~bpo13+1+rpt1
libdrm-freedreno1:arm64	2.4.134-3~bpo13+1+rpt1
libdrm-intel1:arm64	2.4.134-3~bpo13+1+rpt1
libdrm-nouveau2:arm64	2.4.134-3~bpo13+1+rpt1
libdrm-radeon1:arm64	2.4.134-3~bpo13+1+rpt1
libdrm-tegra0:arm64	2.4.134-3~bpo13+1+rpt1
libdrm2:arm64	2.4.134-3~bpo13+1+rpt1
libdtovl0:arm64	20260601-1
libduktape207:arm64	2.7.0-2+b2
libdv4t64:arm64	1.0.0-17.1+b1
libdvbpsi10:arm64	1.3.3-1+b2
libdvdnav4:arm64	6.1.1-3+b1
libdvdread8t64:arm64	6.1.3-2
libdw1t64:arm64	0.192-4
libeatmydata1:arm64	131-2+b1
libebml5:arm64	1.4.5-1+b1
libebur128-1:arm64	1.2.6-1+b2
libedit2:arm64	3.1-20250104-1
libegl-dev:arm64	1.7.0-1+b2
libegl-mesa0:arm64	26.2.0-1~bpo13+0~rpt3
libegl1:arm64	1.7.0-1+b2
libelf1t64:arm64	0.192-4
libenchant-2-2:arm64	2.8.2+dfsg1-3
libepoxy0:arm64	1.5.10-2
liberror-perl	0.17030-1
libevdev-dev:arm64	1.13.4+dfsg-1
libevdev2:arm64	1.13.4+dfsg-1
libevdocument3-4t64:arm64	48.1-3+deb13u1
libevent-2.1-7t64:arm64	2.1.12-stable-10+b1
libevent-core-2.1-7t64:arm64	2.1.12-stable-10+b1
libevview3-3t64:arm64	48.1-3+deb13u1
libexempi8:arm64	2.6.6-2
libexif12:arm64	0.6.25-1+deb13u1
libexpat1-dev:arm64	2.7.1-2
libexpat1:arm64	2.7.1-2
libext2fs2t64:arm64	1.47.2-3+b11
libfaad2:arm64	2.11.2-1
libfakeroot:arm64	1.37.1.1-1
libfarmhash0:arm64	0~git20190513.0d859a8-3+b1
libfdisk1:arm64	2.41.5-0+deb13u1
libfdt1:arm64	1.7.2-2+b1
libfeedback-0.0-0:arm64	0.8.2-1
libffado2:arm64	2.4.9-2
libffi-dev:arm64	3.4.8-2
libffi8:arm64	3.4.8-2
libfftw3-double3:arm64	3.3.10-2+b1
libfftw3-single3:arm64	3.3.10-2+b1
libfido2-1:arm64	1.15.0-1+b1
libfile-fcntllock-perl	0.22-4+b4
libflac14:arm64	1.5.0+ds-2
libflite1:arm64	2.2-7
libfluidsynth3:arm64	2.4.4+dfsg-1+deb13u2
libfm-data	1.4.0-2+rpt8
libfm-extra4t64:arm64	1.4.0-2+rpt8
libfm-gtk-data	1.4.0-2+rpt8
libfm-gtk3-4t64:arm64	1.4.0-2+rpt8
libfm-modules:arm64	1.4.0-2+rpt8
libfm4t64:arm64	1.4.0-2+rpt8
libfmt10:arm64	10.1.1+ds1-4
libfontconfig-dev:arm64	2.15.0-2.3
libfontconfig1:arm64	2.15.0-2.3
libfontembed1t64:arm64	1.28.17-6+rpt1+deb13u1
libfontenc1:arm64	1:1.1.8-1+b2
libfreeaptx0:arm64	0.2.2-1
libfreetype-dev:arm64	2.13.3+dfsg-1+deb13u1
libfreetype6:arm64	2.13.3+dfsg-1+deb13u1
libfribidi-dev:arm64	1.0.16-1
libfribidi0:arm64	1.0.16-1
libftdi1-2:arm64	1.5-10
libfuse2t64:arm64	2.9.9-9
libfuse3-4:arm64	3.17.2-3
libgav1-1:arm64	0.19.0-3+b1
libgbm-dev:arm64	26.2.0-1~bpo13+0~rpt3
libgbm1:arm64	26.2.0-1~bpo13+0~rpt3
libgcc-14-dev:arm64	14.2.0-19
libgcc-s1:arm64	14.2.0-19
libgccjit0:arm64	14.2.0-19
libgck-1-0:arm64	3.41.2-3
libgck-2-2:arm64	4.4.0.1-3
libgcr-4-4:arm64	4.4.0.1-3
libgcr-base-3-1:arm64	3.41.2-3
libgcr-ui-3-1:arm64	3.41.2-3
libgcrypt20:arm64	1.11.0-7+deb13u1
libgd3:arm64	2.3.3-13
libgdata-common	0.18.1-9
libgdata22:arm64	0.18.1-9
libgdbm-compat4t64:arm64	1.24-2
libgdbm6t64:arm64	1.24-2
libgdk-pixbuf-2.0-0:arm64	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-bin	2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-common	2.42.12+dfsg-4+deb13u1
libgfapi0:arm64	11.1-6
libgfortran5:arm64	14.2.0-19
libgfrpc0:arm64	11.1-6
libgfxdr0:arm64	11.1-6
libgif7:arm64	5.2.2-1+b1
libgio-2.0-dev-bin	2.84.4-3~deb13u3
libgio-2.0-dev:arm64	2.84.4-3~deb13u3
libgirepository-1.0-1:arm64	1.84.0-1
libgirepository-2.0-0:arm64	2.84.4-3~deb13u3
libgl-dev:arm64	1.7.0-1+b2
libgl1-mesa-dri:arm64	26.2.0-1~bpo13+0~rpt3
libgl1:arm64	1.7.0-1+b2
libgles-dev:arm64	1.7.0-1+b2
libgles1:arm64	1.7.0-1+b2
libgles2-mesa-dev:arm64	26.2.0-1~bpo13+0~rpt3
libgles2:arm64	1.7.0-1+b2
libglib2.0-0t64:arm64	2.84.4-3~deb13u3
libglib2.0-bin	2.84.4-3~deb13u3
libglib2.0-data	2.84.4-3~deb13u3
libglib2.0-dev-bin	2.84.4-3~deb13u3
libglib2.0-dev:arm64	2.84.4-3~deb13u3
libglibmm-2.4-1t64:arm64	2.66.8-1
libglu1-mesa-dev:arm64	9.0.2-1.1+b3
libglu1-mesa:arm64	9.0.2-1.1+b3
libglusterfs0:arm64	11.1-6
libglut-dev:arm64	3.4.0-4
libglut3.12:arm64	3.4.0-4
libglvnd-core-dev:arm64	1.7.0-1+b2
libglvnd-dev:arm64	1.7.0-1+b2
libglvnd0:arm64	1.7.0-1+b2
libglx-dev:arm64	1.7.0-1+b2
libglx-mesa0:arm64	26.2.0-1~bpo13+0~rpt3
libglx0:arm64	1.7.0-1+b2
libgme0:arm64	0.6.3-7+b2
libgmobile-common	0.3.1-1
libgmobile0:arm64	0.3.1-1
libgmp10:arm64	2:6.3.0+dfsg-3
libgnome-desktop-3-20t64:arm64	44.3-3
libgnutls30t64:arm64	3.8.9-3+deb13u4
libgoa-1.0-0b:arm64	3.54.5-1~deb13u1
libgoa-1.0-common	3.54.5-1~deb13u1
libgomp1:arm64	14.2.0-19
libgpg-error-l10n	1.51-4
libgpg-error0:arm64	1.51-4
libgpgme11t64:arm64	1.24.2-3
libgpgmepp6t64:arm64	1.24.2-3
libgphoto2-6t64:arm64	2.5.31-4
libgphoto2-port12t64:arm64	2.5.31-4
libgpiod3:arm64	2.2.1-2+deb13u1
libgpiolib0:arm64	20260601-1
libgpm2:arm64	1.20.7-11+b2
libgprofng0:arm64	2.44-3
libgraphene-1.0-0:arm64	1.10.8-5
libgraphite2-3:arm64	1.3.14-2+deb13u1
libgraphite2-dev:arm64	1.3.14-2+deb13u1
libgroupsock30:arm64	2025.05.24-1
libgs-common	10.05.1~dfsg-1+deb13u1
libgs10-common	10.05.1~dfsg-1+deb13u1
libgs10:arm64	10.05.1~dfsg-1+deb13u1
libgsm1:arm64	1.0.22-1+b2
libgsound0t64:arm64	1.0.3-3.2+b4
libgspell-1-3:arm64	1.14.0-2+b1
libgspell-1-common	1.14.0-2
libgssapi-krb5-2:arm64	1.21.3-5+deb13u1
libgssdp-1.6-0:arm64	1.6.4-1~deb13u1
libgstreamer-gl1.0-0:arm64	1.26.2-1+rpt3+deb13u1
libgstreamer-plugins-bad1.0-0:arm64	1.26.2-3+rpt3+deb13u1
libgstreamer-plugins-base1.0-0:arm64	1.26.2-1+rpt3+deb13u1
libgstreamer1.0-0:arm64	1.26.2-2
libgtk-3-0t64:arm64	1:3.24.49-3+rpt8
libgtk-3-common	1:3.24.49-3+rpt8
libgtk-4-1:arm64	4.18.6+ds-2
libgtk-4-common	4.18.6+ds-2
libgtk-layer-shell0	0.9.0-2
libgtk2.0-0t64:arm64	2.24.33-7+rpt1
libgtk2.0-common	2.24.33-7+rpt1
libgtkmm-3.0-1t64:arm64	3.24.10-1
libgtksourceview-4-0:arm64	4.8.4-6
libgtksourceview-4-common	4.8.4-6
libgudev-1.0-0:arm64	238-6
libgudev-1.0-dev:arm64	238-6
libgupnp-1.6-0:arm64	1.6.8-2
libgupnp-igd-1.6-0:arm64	1.6.0-4+b1
libgusb2:arm64	0.4.9-1+b1
libgxps2t64:arm64	0.3.2-4+b2
libhandy-1-0:arm64	1.8.3-2+rpt1
libharfbuzz-cairo0:arm64	10.2.0-1+deb13u1
libharfbuzz-dev:arm64	10.2.0-1+deb13u1
libharfbuzz-gobject0:arm64	10.2.0-1+deb13u1
libharfbuzz-icu0:arm64	10.2.0-1+deb13u1
libharfbuzz-subset0:arm64	10.2.0-1+deb13u1
libharfbuzz0b:arm64	10.2.0-1+deb13u1
libheif-plugin-dav1d:arm64	1.19.8-1
libheif-plugin-libde265:arm64	1.19.8-1
libheif1:arm64	1.19.8-1
libhidapi-hidraw0:arm64	0.14.0-1+b2
libhogweed6t64:arm64	3.10.1-1
libhpmud0:arm64	3.22.10+dfsg0-8.1
libhunspell-1.7-0:arm64	1.7.2+really1.7.2-10+b4
libhwasan0:arm64	14.2.0-19
libhwloc-plugins:arm64	2.12.0-4
libhwloc15:arm64	2.12.0-4
libhwy1t64:arm64	1.2.0-2+b2
libi2c0:arm64	4.4-2
libibverbs1:arm64	56.1-1
libice-dev:arm64	2:1.1.1-1
libice6:arm64	2:1.1.1-1
libicu-dev:arm64	76.1-4
libicu76:arm64	76.1-4
libid3tag0:arm64	0.16.3-1
libidn12:arm64	1.43-1
libidn2-0:arm64	2.3.8-2
libiec61883-0:arm64	1.2.0-7
libieee1284-3t64:arm64	0.2.11-14.1+b1
libijs-0.35:arm64	0.35-15.2
libimagequant0:arm64	2.18.0-1+b2
libimath-3-1-29t64:arm64	3.1.12-1+b3
libimlib2t64:arm64	1.12.4-2
libimobiledevice-1.0-6:arm64	1.3.0+git20250228-2
libimobiledevice-glue-1.0-0	1.3.1-1
libinih1:arm64	59-1
libinotifytools0:arm64	4.23.9.0-2+b1
libinput-bin	1.28.1-1+rpt1+deb13u1
libinput-dev:arm64	1.28.1-1+rpt1+deb13u1
libinput-tools	1.28.1-1+rpt1+deb13u1
libinput10:arm64	1.28.1-1+rpt1+deb13u1
libinstpatch-1.0-2:arm64	1.1.6-1+b2
libisl23:arm64	0.27-1
libitm1:arm64	14.2.0-19
libiw30t64:arm64	30~pre9-18+b1
libixml11t64:arm64	1:1.14.20-1
